Tool ID,Plugin,Tool,Description,x,y,Left Join Fields,Right Join Fields,Select Fields,Spark Query
38,AlteryxGuiToolkit.ToolContainer.ToolContainer,ToolContainer,SALES APPORTIONMENT TABLE,55.0,53.99997,[],[],[],
72,AlteryxGuiToolkit.ToolContainer.ToolContainer,ToolContainer,X% Check,1783.0,317.0,[],[],[],
80,AlteryxBasePluginsGui.DbFileInput.DbFileInput,DbFileInput,,80.00028,415.0001,[],[],[],"val df80 = spark.read.format(""jdbc"").option(""url"", ""jdbc:odbc:DSN=PROJECT_SQL"").option(""dbtable"", ""`Sheet1$`"").load()"
85,AlteryxBasePluginsGui.DbFileInput.DbFileInput,DbFileInput,,80.00015,271.0001,[],[],[],"val df85 = spark.read.format(""jdbc"").option(""url"", ""jdbc:odbc:DSN=PROJECT_SQL"").option(""dbtable"", ""`Sales$`"").load()"
64,AlteryxGuiToolkit.ToolContainer.ToolContainer,ToolContainer,VOLUME APPORTIONMENT TABLE,54.0,702.0,[],[],[],
68,AlteryxGuiToolkit.ToolContainer.ToolContainer,ToolContainer,X% Check,1795.0,954.0,[],[],[],
90,AlteryxBasePluginsGui.DbFileInput.DbFileInput,DbFileInput,,80.00005,906.9999,[],[],[],"val df90 = spark.read.format(""jdbc"").option(""url"", ""jdbc:odbc:DSN=PROJECT_SQL"").option(""dbtable"", ""`Volumes$`"").load()"
93,AlteryxBasePluginsGui.DbFileInput.DbFileInput,DbFileInput,,79.0,1026.0,[],[],[],"val df93 = spark.read.format(""jdbc"").option(""url"", ""jdbc:odbc:DSN=PROJECT_SQL"").option(""dbtable"", ""`Sheet1$`"").load()"
83,AlteryxBasePluginsGui.Join.Join,Join,,177.0001,294.9998,['Site'],['Sites'],[],"val df83 = df85.join(df80,df85(""Site"")===df80(""Sites""),inner)"
81,AlteryxBasePluginsGui.Join.Join,Join,,201.0,954.9999,['Site'],['Sites'],[],"val df81 = df90.join(df93,df90(""Site"")===df93(""Sites""),inner)"
24,AlteryxBasePluginsGui.Union.Union,Union,,272.0002,282.9996,[],[],[],val df24 = ldfs.UnionByName(df83)
53,AlteryxBasePluginsGui.Union.Union,Union,,284.0001,943.0001,[],[],[],val df53 = df81.UnionByName(rdfs)
87,AlteryxBasePluginsGui.Formula.Formula,Formula,,368.0001,270.9998,[],[],[],"val df87 = df24.withColumn(""Type"",lit(""Sales""))"
91,AlteryxBasePluginsGui.Formula.Formula,Formula,,380.0,943.0001,[],[],[],"val df91 = df53.withColumn(""Type"",lit(""Volume""))"
89,AlteryxBasePluginsGui.AlteryxSelect.AlteryxSelect,AlteryxSelect,,464.0002,270.9998,[],[],"[{'field': 'Type', 'selected': 'True'}, {'field': 'Site', 'selected': 'True'}, {'field': 'PG', 'selected': 'True', 'rename': 'Product Group'}, {'field': 'Sum_01', 'selected': 'True', 'rename': '2019001'}, {'field': 'Sum_02', 'selected': 'True', 'rename': '2019002'}, {'field': 'Sum_03', 'selected': 'True', 'rename': '2019003'}, {'field': 'Sum_04', 'selected': 'True', 'rename': '2019004'}, {'field': 'Sum_05', 'selected': 'True', 'rename': '2019005'}, {'field': 'Sum_06', 'selected': 'True', 'rename': '2019006'}, {'field': 'Sum_07', 'selected': 'True', 'rename': '2019007'}, {'field': 'Sum_08', 'selected': 'True', 'rename': '2019008'}, {'field': 'Sum_09', 'selected': 'True', 'rename': '2019009'}, {'field': 'Sum_10', 'selected': 'True', 'rename': '2019010'}, {'field': 'Sum_11', 'selected': 'True', 'rename': '2019011'}, {'field': 'Sum_12', 'selected': 'True', 'rename': '2019012'}, {'field': 'Sum_13', 'selected': 'True', 'rename': '2019013'}, {'field': 'Sum_14', 'selected': 'True', 'rename': '2019014'}, {'field': 'Sum_15', 'selected': 'True', 'rename': '2019015'}, {'field': 'Sum_16', 'selected': 'True', 'rename': '2019016'}, {'field': 'Sum_17', 'selected': 'True', 'rename': '2019017'}, {'field': 'Sum_18', 'selected': 'True', 'rename': '2019018'}, {'field': 'Sum_19', 'selected': 'True', 'rename': '2019019'}, {'field': 'Sum_20', 'selected': 'True', 'rename': '2019020'}, {'field': 'Sum_21', 'selected': 'True', 'rename': '2019021'}, {'field': 'Sum_22', 'selected': 'True', 'rename': '2019022'}, {'field': 'Sum_23', 'selected': 'True', 'rename': '2019023'}, {'field': 'Sum_24', 'selected': 'True', 'rename': '2019024'}, {'field': 'Sum_25', 'selected': 'True', 'rename': '2019025'}, {'field': 'Sum_26', 'selected': 'True', 'rename': '2019026'}, {'field': 'Sum_27', 'selected': 'True', 'rename': '2019027'}, {'field': 'Sum_28', 'selected': 'True', 'rename': '2019028'}, {'field': 'Sum_29', 'selected': 'True', 'rename': '2019029'}, {'field': 'Sum_30', 'selected': 'True', 'rename': '2019030'}, {'field': 'Sum_31', 'selected': 'True', 'rename': '2019031'}, {'field': 'Sum_32', 'selected': 'True', 'rename': '2019032'}, {'field': 'Sum_33', 'selected': 'True', 'rename': '2019033'}, {'field': 'Sum_34', 'selected': 'True', 'rename': '2019034'}, {'field': 'Sum_35', 'selected': 'True', 'rename': '2019035'}, {'field': 'Sum_36', 'selected': 'True', 'rename': '2019036'}, {'field': 'Sum_37', 'selected': 'True', 'rename': '2019037'}, {'field': 'Sum_38', 'selected': 'True', 'rename': '2019038'}, {'field': 'Sum_39', 'selected': 'True', 'rename': '2019039'}, {'field': 'Sum_40', 'selected': 'True', 'rename': '2019040'}, {'field': 'Sum_41', 'selected': 'True', 'rename': '2019041'}, {'field': 'Sum_42', 'selected': 'True', 'rename': '2019042'}, {'field': 'Sum_43', 'selected': 'True', 'rename': '2019043'}, {'field': 'Sum_44', 'selected': 'True', 'rename': '2019044'}, {'field': 'Sum_45', 'selected': 'True', 'rename': '2019045'}, {'field': 'Sum_46', 'selected': 'True', 'rename': '2019046'}, {'field': 'Sum_47', 'selected': 'True', 'rename': '2019047'}, {'field': 'Sum_48', 'selected': 'True', 'rename': '2019048'}, {'field': 'Sum_49', 'selected': 'True', 'rename': '2019049'}, {'field': 'Sum_50', 'selected': 'True', 'rename': '2019050'}, {'field': 'Sum_51', 'selected': 'True', 'rename': '2019051'}, {'field': 'Sum_52', 'selected': 'True', 'rename': '2019052'}, {'field': 'Sites', 'selected': 'False'}, {'field': 'F2', 'selected': 'False'}, {'field': '*Unknown', 'selected': 'True'}]","val df89 = df87.selectExpr(""Type"",""Site"",""PG as Product Group"",""Sum_01 as 2019001"",""Sum_02 as 2019002"",""Sum_03 as 2019003"",""Sum_04 as 2019004"",""Sum_05 as 2019005"",""Sum_06 as 2019006"",""Sum_07 as 2019007"",""Sum_08 as 2019008"",""Sum_09 as 2019009"",""Sum_10 as 2019010"",""Sum_11 as 2019011"",""Sum_12 as 2019012"",""Sum_13 as 2019013"",""Sum_14 as 2019014"",""Sum_15 as 2019015"",""Sum_16 as 2019016"",""Sum_17 as 2019017"",""Sum_18 as 2019018"",""Sum_19 as 2019019"",""Sum_20 as 2019020"",""Sum_21 as 2019021"",""Sum_22 as 2019022"",""Sum_23 as 2019023"",""Sum_24 as 2019024"",""Sum_25 as 2019025"",""Sum_26 as 2019026"",""Sum_27 as 2019027"",""Sum_28 as 2019028"",""Sum_29 as 2019029"",""Sum_30 as 2019030"",""Sum_31 as 2019031"",""Sum_32 as 2019032"",""Sum_33 as 2019033"",""Sum_34 as 2019034"",""Sum_35 as 2019035"",""Sum_36 as 2019036"",""Sum_37 as 2019037"",""Sum_38 as 2019038"",""Sum_39 as 2019039"",""Sum_40 as 2019040"",""Sum_41 as 2019041"",""Sum_42 as 2019042"",""Sum_43 as 2019043"",""Sum_44 as 2019044"",""Sum_45 as 2019045"",""Sum_46 as 2019046"",""Sum_47 as 2019047"",""Sum_48 as 2019048"",""Sum_49 as 2019049"",""Sum_50 as 2019050"",""Sum_51 as 2019051"",""Sum_52 as 2019052"",""*Unknown"")"
92,AlteryxBasePluginsGui.AlteryxSelect.AlteryxSelect,AlteryxSelect,,476.0001,942.9999,[],[],"[{'field': 'Type', 'selected': 'True'}, {'field': 'Site', 'selected': 'True'}, {'field': 'PG', 'selected': 'True', 'rename': 'Product Group'}, {'field': 'Sum_01', 'selected': 'True', 'rename': '2019001'}, {'field': 'Sum_02', 'selected': 'True', 'rename': '2019002'}, {'field': 'Sum_03', 'selected': 'True', 'rename': '2019003'}, {'field': 'Sum_04', 'selected': 'True', 'rename': '2019004'}, {'field': 'Sum_05', 'selected': 'True', 'rename': '2019005'}, {'field': 'Sum_06', 'selected': 'True', 'rename': '2019006'}, {'field': 'Sum_07', 'selected': 'True', 'rename': '2019007'}, {'field': 'Sum_08', 'selected': 'True', 'rename': '2019008'}, {'field': 'Sum_09', 'selected': 'True', 'rename': '2019009'}, {'field': 'Sum_10', 'selected': 'True', 'rename': '2019010'}, {'field': 'Sum_11', 'selected': 'True', 'rename': '2019011'}, {'field': 'Sum_12', 'selected': 'True', 'rename': '2019012'}, {'field': 'Sum_13', 'selected': 'True', 'rename': '2019013'}, {'field': 'Sum_14', 'selected': 'True', 'rename': '2019014'}, {'field': 'Sum_15', 'selected': 'True', 'rename': '2019015'}, {'field': 'Sum_16', 'selected': 'True', 'rename': '2019016'}, {'field': 'Sum_17', 'selected': 'True', 'rename': '2019017'}, {'field': 'Sum_18', 'selected': 'True', 'rename': '2019018'}, {'field': 'Sum_19', 'selected': 'True', 'rename': '2019019'}, {'field': 'Sum_20', 'selected': 'True', 'rename': '2019020'}, {'field': 'Sum_21', 'selected': 'True', 'rename': '2019021'}, {'field': 'Sum_22', 'selected': 'True', 'rename': '2019022'}, {'field': 'Sum_23', 'selected': 'True', 'rename': '2019023'}, {'field': 'Sum_24', 'selected': 'True', 'rename': '2019024'}, {'field': 'Sum_25', 'selected': 'True', 'rename': '2019025'}, {'field': 'Sum_26', 'selected': 'True', 'rename': '2019026'}, {'field': 'Sum_27', 'selected': 'True', 'rename': '2019027'}, {'field': 'Sum_28', 'selected': 'True', 'rename': '2019028'}, {'field': 'Sum_29', 'selected': 'True', 'rename': '2019029'}, {'field': 'Sum_30', 'selected': 'True', 'rename': '2019030'}, {'field': 'Sum_31', 'selected': 'True', 'rename': '2019031'}, {'field': 'Sum_32', 'selected': 'True', 'rename': '2019032'}, {'field': 'Sum_33', 'selected': 'True', 'rename': '2019033'}, {'field': 'Sum_34', 'selected': 'True', 'rename': '2019034'}, {'field': 'Sum_35', 'selected': 'True', 'rename': '2019035'}, {'field': 'Sum_36', 'selected': 'True', 'rename': '2019036'}, {'field': 'Sum_37', 'selected': 'True', 'rename': '2019037'}, {'field': 'Sum_38', 'selected': 'True', 'rename': '2019038'}, {'field': 'Sum_39', 'selected': 'True', 'rename': '2019039'}, {'field': 'Sum_40', 'selected': 'True', 'rename': '2019040'}, {'field': 'Sum_41', 'selected': 'True', 'rename': '2019041'}, {'field': 'Sum_42', 'selected': 'True', 'rename': '2019042'}, {'field': 'Sum_43', 'selected': 'True', 'rename': '2019043'}, {'field': 'Sum_44', 'selected': 'True', 'rename': '2019044'}, {'field': 'Sum_45', 'selected': 'True', 'rename': '2019045'}, {'field': 'Sum_46', 'selected': 'True', 'rename': '2019046'}, {'field': 'Sum_47', 'selected': 'True', 'rename': '2019047'}, {'field': 'Sum_48', 'selected': 'True', 'rename': '2019048'}, {'field': 'Sum_49', 'selected': 'True', 'rename': '2019049'}, {'field': 'Sum_50', 'selected': 'True', 'rename': '2019050'}, {'field': 'Sum_51', 'selected': 'True', 'rename': '2019051'}, {'field': 'Sum_52', 'selected': 'True', 'rename': '2019052'}, {'field': 'Sites', 'selected': 'False'}, {'field': 'F2', 'selected': 'False'}, {'field': '*Unknown', 'selected': 'True'}]","val df92 = df91.selectExpr(""Type"",""Site"",""PG as Product Group"",""Sum_01 as 2019001"",""Sum_02 as 2019002"",""Sum_03 as 2019003"",""Sum_04 as 2019004"",""Sum_05 as 2019005"",""Sum_06 as 2019006"",""Sum_07 as 2019007"",""Sum_08 as 2019008"",""Sum_09 as 2019009"",""Sum_10 as 2019010"",""Sum_11 as 2019011"",""Sum_12 as 2019012"",""Sum_13 as 2019013"",""Sum_14 as 2019014"",""Sum_15 as 2019015"",""Sum_16 as 2019016"",""Sum_17 as 2019017"",""Sum_18 as 2019018"",""Sum_19 as 2019019"",""Sum_20 as 2019020"",""Sum_21 as 2019021"",""Sum_22 as 2019022"",""Sum_23 as 2019023"",""Sum_24 as 2019024"",""Sum_25 as 2019025"",""Sum_26 as 2019026"",""Sum_27 as 2019027"",""Sum_28 as 2019028"",""Sum_29 as 2019029"",""Sum_30 as 2019030"",""Sum_31 as 2019031"",""Sum_32 as 2019032"",""Sum_33 as 2019033"",""Sum_34 as 2019034"",""Sum_35 as 2019035"",""Sum_36 as 2019036"",""Sum_37 as 2019037"",""Sum_38 as 2019038"",""Sum_39 as 2019039"",""Sum_40 as 2019040"",""Sum_41 as 2019041"",""Sum_42 as 2019042"",""Sum_43 as 2019043"",""Sum_44 as 2019044"",""Sum_45 as 2019045"",""Sum_46 as 2019046"",""Sum_47 as 2019047"",""Sum_48 as 2019048"",""Sum_49 as 2019049"",""Sum_50 as 2019050"",""Sum_51 as 2019051"",""Sum_52 as 2019052"",""*Unknown"")"
